Graph_ID,Matched_Count,Mismatched_Count,Classification
graph_10899,40320,0,1
graph_109,40320,0,1
graph_1090,40320,0,1
graph_10900,40320,0,1
graph_10901,40320,0,1
graph_10902,40320,0,1
graph_10903,40320,0,1
graph_10904,40320,0,1
graph_10905,26880,13440,2
graph_10906,40320,0,1
graph_10907,40320,0,1
graph_10908,40320,0,1
graph_10909,40320,0,1
graph_1091,40320,0,1
graph_10910,40320,0,1
graph_10911,40320,0,1
graph_10912,40320,0,1
graph_10913,40320,0,1
graph_10914,40320,0,1
graph_10915,40320,0,1
graph_10916,40320,0,1
graph_10917,40320,0,1
graph_10918,40320,0,1
graph_10919,20160,20160,2
graph_1092,40320,0,1
graph_10920,40320,0,1
graph_10921,40320,0,1
graph_10922,40320,0,1
graph_10923,40320,0,1
graph_10924,40320,0,1
graph_10925,40320,0,1
graph_10926,40320,0,1
graph_10927,40320,0,1
graph_10928,40320,0,1
graph_10929,40320,0,1
graph_1093,40320,0,1
graph_10930,40320,0,1
graph_10931,40320,0,1
graph_10932,40320,0,1
graph_10933,40320,0,1
graph_10934,40320,0,1
graph_10935,40320,0,1
graph_10936,40320,0,1
graph_10937,40320,0,1
graph_10938,40320,0,1
graph_10939,40320,0,1
graph_1094,40320,0,1
graph_10940,40320,0,1
graph_10941,40320,0,1
graph_10942,40320,0,1
graph_10943,40320,0,1
graph_10944,40320,0,1
graph_10945,40320,0,1
graph_10946,40320,0,1
graph_10947,40320,0,1
graph_10948,40320,0,1
graph_10949,20160,20160,2
graph_1095,40320,0,1
graph_10950,40320,0,1
