Running job on gpu-3-01
Requested resources:
  - CPUs: 32
  - GPUs: 
  - Memory: 64000
modelTrain_prob.py:229: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  model.load_state_dict(torch.load(MODEL_SAVE_PATH))
Warning: JSON file 'mis_results_grouped_v3/nodes_80_removal_85percent.json' does not exist. Skipping.
Warning: JSON file 'mis_results_grouped_v3/nodes_85_removal_85percent.json' does not exist. Skipping.
Warning: JSON file 'mis_results_grouped_v3/nodes_90_removal_80percent.json' does not exist. Skipping.
Warning: JSON file 'mis_results_grouped_v3/nodes_90_removal_85percent.json' does not exist. Skipping.
Total JSON files found: 251
Total edgelist directories found: 251
Total graphs in dataset: 39900
Train Dataset Size: 31920
Validation Dataset Size: 7980

Calculating baseline MAE (predicting 0.5 for every node):
Baseline Training MAE: 0.4161
Baseline Validation MAE: 0.4170
Epoch 193 | Train Loss: 0.3406 | Validation Loss: 0.3423 | Validation MAE: 0.1459
Epoch 194 | Train Loss: 0.3407 | Validation Loss: 0.3409 | Validation MAE: 0.1436
Epoch 195 | Train Loss: 0.3405 | Validation Loss: 0.3393 | Validation MAE: 0.1385
Epoch 196 | Train Loss: 0.3404 | Validation Loss: 0.3391 | Validation MAE: 0.1352
Epoch 197 | Train Loss: 0.3406 | Validation Loss: 0.3424 | Validation MAE: 0.1313
Epoch 198 | Train Loss: 0.3402 | Validation Loss: 0.3412 | Validation MAE: 0.1437
Epoch 199 | Train Loss: 0.3407 | Validation Loss: 0.3389 | Validation MAE: 0.1382
Epoch 200 | Train Loss: 0.3402 | Validation Loss: 0.3389 | Validation MAE: 0.1367
Epoch 201 | Train Loss: 0.3404 | Validation Loss: 0.3412 | Validation MAE: 0.1442
Epoch 202 | Train Loss: 0.3404 | Validation Loss: 0.3389 | Validation MAE: 0.1376
Epoch 203 | Train Loss: 0.3406 | Validation Loss: 0.3401 | Validation MAE: 0.1334
Epoch 204 | Train Loss: 0.3407 | Validation Loss: 0.3407 | Validation MAE: 0.1430
Epoch 205 | Train Loss: 0.3400 | Validation Loss: 0.3389 | Validation MAE: 0.1378
Epoch 206 | Train Loss: 0.3403 | Validation Loss: 0.3422 | Validation MAE: 0.1310
